EVTYPE,CATEGORY
THUNDERSTORM WIND G60,WIND
THUNDERSTORM WIND.,WIND
THUNDERSTORM WINDS G60,WIND
TORNADOES,TORNADO
Unseasonable Cold,COLD
UNSEASONAL RAIN,RAIN
Freezing Drizzle,RAIN
GRADIENT WIND,WIND
Light Snow   ,SNOW
Light Snow,SNOW
